ord;word;1;2
2;tematiikkaan;0;0
3;kuuluivat;0;0
4;muun;0;0
5;muassa;0;0
6;sarkastinen;0;0
7;Pienten;B-WORK;0
8;suojelija;I-WORK;0
9;(;0;0
10;1940;B-DATE;0
11;,;0;0
12;puuta;0;0
13;);0;0
14;ja;0;0
15;symbolinen;0;0
16;Lohikäärmeen;B-WORK;0
17;tappaja;I-WORK;0
18;(;0;0
19;1940;B-DATE;0
20;,;0;0
21;pronssia;0;0
22;);0;0
23;.;0;0
1;Hän;0;0
2;kävi;0;0
3;myös;0;0
4;pari;0;0
5;kertaa;0;0
6;Euroopan;B-EVT;B-ORG
7;katolisen;0;0
8;romaniheimon;0;I-ORG
9;jokakeväisellä;0;0
10;pyhiinvaellusmatkalla;I-EVT;0
11;Etelä-Ranskan;B-LOC;B-LOC
12;Camarguen;I-LOC;B-LOC
13;alueella;0;0
14;sijaitsevassa;0;0
15;Saintes;B-LOC;0
16;Maries;0;0
17;de;0;0
18;la;0;0
19;Merin;I-LOC;0
20;kaupungissa;0;0
21;,;0;0
22;jossa;0;0
23;24.5.;B-DATE;0
24;juhlitaan;0;0
25;romanien;0;0
26;suojeluspyhimystä;0;0
27;Mustaa;B-PER;0
28;Saaraa;I-PER;0
29;.;0;0
1;Rodinin;B-PER;0
2;esikuvien;0;0
3;mukaan;0;0
4;tehdyt;0;0
5;muotokuvat;0;0
6;vuosisadan;0;0
7;alussa;0;0
8;enteilivät;0;0
9;jo;0;0
10;uusia;0;0
11;saavutuksia;0;0
12;muotokuvaveistosten;0;0
13;parissa;0;0
14;.;0;0
1;Taju;B-PER;0
2;Sallisesta;I-PER;0
3;tuli;0;0
4;kirjailija;0;0
5;,;0;0
6;joka;0;0
7;Irja;B-PER;0
8;Salla;I-PER;0
9;-nimisenä;0;0
10;kirjoitti;0;0
11;paljon;0;0
12;vanhemmistaan;0;0
13;,;0;0
14;kuten;0;0
15;kirjassa;0;0
16;Isä;B-WORK;0
17;ja;0;0
18;minä;I-WORK;0
19;:;0;0
20;muistelmia;0;0
21;Tyko;B-PER;0
22;Sallisesta;I-PER;0
23;(;0;0
24;1957;B-DATE;0
25;);0;0
26;.;0;0
1;Henkilökuvissaan;0;0
2;Elin;B-PER;0
3;Danielson;I-PER;0
4;alkoi;0;0
5;yhä;0;0
6;selvemmin;0;0
7;keskittyä;0;0
8;naisten;0;0
9;elämään;0;0
10;,;0;0
11;ja;0;0
12;1880-luvun;B-DATE;0
13;jälkipuolella;0;0
14;syntyivät;0;0
15;hänen;0;0
16;ajan;0;0
17;oloihin;0;0
18;nähden;0;0
19;rohkeat;0;0
20;naiskuvansa;0;0
21;.;0;0
1;Hänet;0;0
2;valittiin;0;0
3;1974;B-DATE;0
4;vuoden;0;0
5;taiteilijaksi;0;0
6;,;0;0
7;ja;0;0
8;2004;B-DATE;0
9;hänelle;0;0
10;myönnettiin;0;0
11;professorin;0;0
12;arvonimi;0;0
13;.;0;0
1;Sigurd;B-PER;0
2;Wettenhovi-Aspan;I-PER;0
3;erikoislaatuinen;0;0
4;ateljee;0;0
5;Karjalohjan;B-LOC;B-LOC
6;Vilniemessä;B-LOC;I-LOC
7;siirtyi;0;0
8;testamentilla;0;0
9;Suomen;B-ORG;B-LOC
10;Kuvataidejärjestöjen;0;0
11;liitolle;I-ORG;0
12;,;0;0
13;mutta;0;0
14;kirjavien;0;0
15;vaiheiden;0;0
16;jälkeen;0;0
17;talo;0;0
18;purettiin;0;0
19;1981;B-DATE;0
1;Tästä;0;0
2;huolimatta;0;0
3;Martta;B-PER;0
4;Wendelin;I-PER;0
5;piti;0;0
6;seuraavan;0;0
7;yksityisnäyttelynsä;0;0
8;Helsingissä;B-LOC;0
9;vasta;0;0
10;yhdentoista;0;0
11;vuoden;0;0
12;kuluttua;0;0
13;,;0;0
14;eikä;0;0
15;se;0;0
16;enää;0;0
17;vakuuttanut;0;0
18;arvostelijoita;0;0
19;,;0;0
20;vaan;0;0
21;teosten;0;0
22;takana;0;0
23;nähtiin;0;0
24;kuvittaja;0;0
25;.;0;0
1;Kososelle;B-PER;0
2;tehtiin;0;0
3;onnistunut;0;0
4;sydämensiirto;0;0
5;Helsingin;B-ORG;B-LOC
6;yliopistollisessa;0;0
7;keskussairaalassa;I-ORG;0
8;1996;B-DATE;0
9;.;0;0
1;Essi;B-PER;0
2;Renvall;I-PER;0
3;on;0;0
4;kertonut;0;0
5;1971;B-DATE;0
6;ilmestyneissä;0;0
7;muistelmissaan;0;0
8;Nyrkit;B-WORK;0
9;savessa;I-WORK;0
10;värikkäästi;0;0
11;lapsuudestaan;0;0
12;1910-luvun;B-DATE;0
13;Oulussa;B-LOC;0
14;sekä;0;0
15;perheestään;0;0
16;,;0;0
17;äidistään;0;0
18;Fanny;B-PER;0
19;Mariasta;I-PER;0
20;,;0;0
21;isästään;0;0
22;Aksel;B-PER;0
23;Lähteestä;I-PER;0
24;ja;0;0
25;nuoremmasta;0;0
26;veljestään;0;0
27;Pentistä;B-PER;0
28;.;0;0
1;Mether-Borgströmin;B-PER;0
2;1950-luvun;0;0
3;abstraktien;0;0
4;maalausten;0;0
5;pohjana;0;0
6;on;0;0
7;herkkä;0;0
8;viivan;0;0
9;ja;0;0
10;värien;0;0
11;käyttö;0;0
12;.;0;0
1;Vaikka;0;0
2;Martta;B-PER;0
3;Wendelinistä;I-PER;0
4;ei;0;0
5;tullut;0;0
6;virallisten;0;0
7;taidepiirien;0;0
8;korkealle;0;0
9;arvostamaa;0;0
10;taiteilijaa;0;0
11;,;0;0
12;hän;0;0
13;teki;0;0
14;kuitenkin;0;0
15;koko;0;0
16;elämänsä;0;0
17;ajan;0;0
18;&quot;0;0
19;vapaata;0;0
20;&quot;0;0
21;taidetta;0;0
22;.;0;0
1;Hän;0;0
2;sai;0;0
3;1938;B-DATE;0
4;valtion;0;0
5;taidepalkinnon;0;0
6;ja;0;0
7;lähti;0;0
8;saamillaan;0;0
9;palkintorahoilla;0;0
10;opiskelemaan;0;0
11;Englantiin;B-LOC;0
12;,;0;0
13;Ranskaan;B-LOC;0
14;ja;0;0
15;Italiaan;B-LOC;0
16;.;0;0
1;Taiteilija;0;0
2;toteutti;0;0
3;myös;0;0
4;Bauhaus-ideologian;0;0
5;mukaisia;0;0
6;monumentaalisia;0;0
7;teoksia;0;0
8;.;0;0
1;Kuvaston;0;0
2;maailmasta;0;0
3;on;0;0
4;suljettu;0;0
5;pois;0;0
6;kaupungistuva;0;0
7;ja;0;0
8;teollistuva;0;0
9;Suomi;B-LOC;0
10;ja;0;0
11;uudenaikainen;0;0
12;elämäntyyli;0;0
13;.;0;0
1;Martta;B-PER;0
2;Wendelinin;I-PER;0
3;tuotannonjako;0;0
4;vapaaseen;0;0
5;taiteeseen;0;0
6;ja;0;0
7;käyttötaiteeseen;0;0
8;on;0;0
9;kuitenkin;0;0
10;ongelmallista;0;0
11;,;0;0
12;ja;0;0
13;voidaan;0;0
14;kysyä;0;0
15;,;0;0
16;oliko;0;0
17;hänen;0;0
18;&quot;0;0
19;vapaa;0;0
20;&quot;0;0
21;taiteensa;0;0
22;vapaampaa;0;0
23;kuin;0;0
24;hänen;0;0
25;kuvituksensa;0;0
26;.;0;0
1;Martta;B-PER;0
2;Wendelin;I-PER;0
3;lahjoitti;0;0
4;suuren;0;0
5;kokoelman;0;0
6;kuvitusoriginaalejaan;0;0
7;Tuusulan;B-LOC;0
8;kunnalle;I-LOC;0
9;.;0;0
1;Martta;B-PER;0
2;Wendelinin;I-PER;0
3;elämäntyö;0;0
4;oli;0;0
5;osa;0;0
6;1900-luvulla;B-DATE;0
7;syntynyttä;0;0
8;graafisen;0;0
9;teollisuuden;0;0
10;kehitystä;0;0
11;ja;0;0
12;aikakauslehtien;0;0
13;ekspansiota;0;0
14;.;0;0
1;Etualalle;0;0
2;säännönmukaisesti;0;0
3;sijoitetut;0;0
4;kivet;0;0
5;ja;0;0
6;kalliot;0;0
7;eivät;0;0
8;merkitse;0;0
9;varsinaisesti;0;0
10;maan;0;0
11;karuuden;0;0
12;kokemista;0;0
13;;0;0
14;ne;0;0
15;liittyvät;0;0
16;omaksuttuun;0;0
17;kuvaustapaan;0;0
18;ja;0;0
19;esiintyvät;0;0
20;myös;0;0
21;von;B-PER;0
22;Kügelgenin;I-PER;0
23;eteläisemmissä;0;0
24;ihannemaisemissa;0;0
25;.;0;0
1;Valtiopäivien;B-EVT;0
2;asettama;0;0
3;valiokunta;0;0
4;,;0;0
5;jonka;0;0
6;sihteerinä;0;0
7;toimi;0;0
8;Z;B-PER;0
9;.;0;0
10;Topelius;I-PER;0
11;,;0;0
12;kääntyi;0;0
13;1878;B-DATE;0
14;Walter;B-PER;0
15;Runebergin;I-PER;0
16;puoleen;0;0
17;.;0;0
1;Ehkä;0;0
2;tunnetuin;0;0
3;ja;0;0
4;puhuttelevin;0;0
5;on;0;0
6;hänen;0;0
7;kuvituksensa;0;0
8;Viktor;B-PER;0
9;Rydbergin;I-PER;0
10;Tonttu-runoon;B-WORK;0
11;,;0;0
12;joka;0;0
13;julkaistiin;0;0
14;1945;B-DATE;0
15;lastenkirjana;0;0
16;.;0;0
1;Eniten;0;0
2;mainetta;0;0
3;Keinänen;B-PER;0
4;sai;0;0
5;1880;B-DATE;0
6;maalatusta;0;0
7;teoksestaan;0;0
8;Käräjätuvan;B-WORK;0
9;eteisessä;I-WORK;0
10;,;0;0
11;jossa;0;0
12;on;0;0
13;vankasti;0;0
14;ja;0;0
15;kaunistelematta;0;0
16;kuvattu;0;0
17;erilaisia;0;0
18;kansantyyppejä;0;0
19;.;0;0
1;Mether-Borgströmille;B-PER;0
2;konkretismi;0;0
3;merkitsi;0;0
4;taideteoksen;0;0
5;oman;0;0
6;maailman;0;0
7;korostumista;0;0
8;.;0;0
1;Työskentely;0;0
2;ihailemansa;0;0
3;keskiaikaisen;0;0
4;veistotaiteen;0;0
5;parissa;0;0
6;vaikutti;0;0
7;Kaasisen;0;0
8;omaan;0;0
9;tuotantoon;0;0
10;:;0;0
11;Someron;B-LOC;0
12;kirkkoon;I-LOC;0
13;taiteilija;0;0
14;veisti;0;0
15;1959;B-DATE;0
16;goottilaistyylisen;0;0
17;arkkienkeli;B-PER;0
18;Mikaelia;I-PER;0
19;esittävän;0;0
20;veistoksen;0;0
21;.;0;0
1;Vannin;0;0
2;teoksia;0;0
3;leimaa;0;0
4;1960-luvulla;B-DATE;0
5;lisääntynyt;0;0
6;kiinnostus;0;0
7;värien;0;0
8;ja;0;0
9;muotojen;0;0
10;vuorovaikutuksella;0;0
11;synnytettyä;0;0
12;kinetiikkaa;0;0
13;kohtaan;0;0
14;.;0;0
1;Hänet;0;0
2;kutsuttiin;0;0
3;1949;B-DATE;0
4;Académie;B-ORG;0
5;Internationale;0;0
6;d';0;0
7;Héraldiquen;I-ORG;0
8;jäseneksi;0;0
9;.;0;0
1;Ernst;B-PER;0
2;Mether-Borgström;I-PER;0
3;on;0;0
4;tunnustanut;0;0
5;velkansa;0;0
6;esikuvilleen;0;0
7;ja;0;0
8;usein;0;0
9;omistanut;0;0
10;teoksensa;0;0
11;Kandinskylle;B-PER;0
12;,;0;0
13;Grisille;B-PER;0
14;tai;0;0
15;Kasimir;B-PER;0
16;Malevitshille;I-PER;0
17;.;0;0
1;Isä;0;0
2;avioitui;0;0
3;muutaman;0;0
4;vuoden;0;0
5;kuluttua;0;0
6;uudelleen;0;0
7;,;0;0
8;ja;0;0
9;tästä;0;0
10;avioliitosta;0;0
11;Julialla;B-PER;0
12;oli;0;0
13;kaksi;0;0
14;velipuolta;0;0
15;.;0;0
1;Hänen;0;0
2;uransa;0;0
3;huippu;0;0
4;oli;0;0
5;1930-luvulla;B-DATE;0
6;,;0;0
7;jolloin;0;0
8;graafinen;0;0
9;teollisuus;0;0
10;laajentui;0;0
11;voimakkaasti;0;0
12;.;0;0
1;Konkretismin;0;0
2;Mether-Borgström;B-PER;0
3;omaksui;0;0
4;Victor;B-PER;0
5;Vasarelyn;I-PER;0
6;,;0;0
7;Alberto;B-PER;0
8;Magnellin;I-PER;0
9;,;0;0
10;Pillet'n;B-PER;0
11;ja;0;0
12;Auguste;B-PER;0
13;Herbinin;I-PER;0
14;vaikutuksesta;0;0
15;.;0;0
1;Kaikkien;0;0
2;muumikirjojen;0;0
3;miljöönä;0;0
4;on;0;0
5;laakso;0;0
6;,;0;0
7;jonka;0;0
8;keskellä;0;0
9;asuu;0;0
10;omalaatuinen;0;0
11;muumiperhe;0;0
12;sinisessä;0;0
13;kaakeliuunia;0;0
14;muistuttavassa;0;0
15;talossa;0;0
16;.;0;0
1;Myös;0;0
2;suomalaiset;0;0
3;esikuvat;0;0
4;olivat;0;0
5;hänelle;0;0
6;tärkeitä;0;0
7;:;0;0
8;mystisyyteen;0;0
9;ja;0;0
10;surrealismiin;0;0
11;kytkeytyvien;0;0
12;Ole;B-PER;0
13;Kandelinin;I-PER;0
14;ja;0;0
15;Otto;B-PER;0
16;Mäkilän;I-PER;0
17;nonfigurativismi;0;0
18;vaikutti;0;0
19;hänen;0;0
20;tuotantoonsa;0;0
21;.;0;0
1;Hän;0;0
2;kuului;0;0
3;isänsä;0;0
4;puolelta;0;0
5;Räisälässä;B-LOC;0
6;vaikuttaneeseen;0;0
7;vanhaan;0;0
8;talonpoikaissukuun;0;0
9;,;0;0
10;jossa;0;0
11;esiintyi;0;0
12;kuvataiteellista;0;0
13;ja;0;0
14;kirjallista;0;0
15;lahjakkuutta;0;0
16;.;0;0
1;Toisaalta;0;0
2;myös;0;0
3;Martta;B-PER;0
4;Wendelinin;I-PER;0
5;nöyrän;0;0
6;vaatimaton;0;0
7;maailma;0;0
8;saattoi;0;0
9;näyttää;0;0
10;aikansa;0;0
11;eläneeltä;0;0
12;ja;0;0
13;vähemmän;0;0
14;myyvältä;0;0
15;.;0;0
1;Näyttelyiden;0;0
2;saamien;0;0
3;arvostelujen;0;0
4;kaari;0;0
5;oli;0;0
6;selkeä;0;0
7;.;0;0
1;Ei;0;0
2;ole;0;0
3;tiedossa;0;0
4;,;0;0
5;missä;0;0
6;Lovisa;B-PER;0
7;Charlotta;0;0
8;Reuterholm;I-PER;0
9;oli;0;0
10;oppinut;0;0
11;maalaamaan;0;0
12;.;0;0
1;Siellä;0;0
2;hän;0;0
3;tutustui;0;0
4;Betty;B-PER;0
5;Edbergiin;I-PER;0
6;,;0;0
7;jonka;0;0
8;varakas;0;0
9;kauppias;0;0
10;Lorentz;B-PER;0
11;Henrik;0;0
12;Tesche;I-PER;0
13;puolisoineen;0;0
14;oli;0;0
15;ottanut;0;0
16;kasvatikseen;0;0
17;.;0;0
1;Porvoossa;B-LOC;0
2;paljastettiin;0;0
3;30.5.1885;B-DATE;0
4;pronssiin;0;0
5;valettu;0;0
6;alkuperäinen;0;0
7;,;0;0
8;luonnollista;0;0
9;kokoa;0;0
10;oleva;0;0
11;versio;0;0
12;ilman;0;0
13;Suomi-hahmoa;0;0
14;.;0;0
1;Opiskeltuaan;0;0
2;alkuun;0;0
3;Teknillisen;B-ORG;B-ORG
4;korkeakoulun;0;I-ORG
5;arkkitehtiosastolla;I-ORG;0
6;Saxelin;B-PER;0
7;siirtyi;0;0
8;1908;B-DATE;0
9;Taideyhdistyksen;B-ORG;B-ORG
10;piirustuskouluun;I-ORG;0
11;kuvanveistäjä;0;0
12;Viktor;B-PER;0
13;Malmbergin;I-PER;0
14;oppilaaksi;0;0
15;.;0;0
1;Tämän;0;0
2;seinämaalauksen;0;0
3;toteutuminen;0;0
4;merkitsi;0;0
5;Suomessa;B-LOC;0
6;abstraktin;0;0
7;taiteen;0;0
8;virallista;0;0
9;hyväksymistä;0;0
10;;0;0
11;ensimmäistä;0;0
12;kertaa;0;0
13;abstrakti;0;0
14;taideteos;0;0
15;oli;0;0
16;valittu;0;0
17;kilpailun;0;0
18;voittajaksi;0;0
19;ja;0;0
20;se;0;0
21;toteutettiin;0;0
22;julkisen;0;0
23;instituutin;0;0
24;rahoittamana;0;0
25;.;0;0
1;Sadunomaista;0;0
2;kirjankuvitusta;0;0
3;edustavat;0;0
4;myös;0;0
5;Martta;B-PER;0
6;Wendelinin;I-PER;0
7;aapiskuvitukset;0;0
8;.;0;0
1;Kysyttyjä;0;0
2;olivat;0;0
3;myös;0;0
4;hänen;0;0
5;kukkataulunsa;0;0
6;ja;0;0
7;maisemakuvansa;0;0
8;.;0;0
1;Viipurilaisen;0;0
2;kauppaneuvos;0;0
3;Juho;B-PER;0
4;Lallukan;I-PER;0
5;uuden;0;0
6;liikerakennuksen;0;0
7;koristeiksi;0;0
8;Halonen;B-PER;0
9;veisti;0;0
10;sittemmin;0;0
11;tuhoutuneet;0;0
12;,;0;0
13;ajanmukaisesti;0;0
14;egyptiläisvaikutteiset;0;0
15;figuurit;0;0
16;.;0;0
1;Hän;0;0
2;maalasi;0;0
3;myös;0;0
